V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,481000,88244117,3441,1791,15083,https://www.youtube.com/watch?v=cyaEJOtz7zM,2413,1502,3637,https://www.youtube.com/watch?v=N4DwERKVhfc,9477,2762,15083,https://www.youtube.com/watch?v=cyaEJOtz7zM,31104,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,433000,43746238,7450,3107,79043,https://www.youtube.com/watch?v=YWIj36Z_FNU,8308,2502,15851,https://www.youtube.com/watch?v=biAJZwwvugk,7176,4133,79043,https://www.youtube.com/watch?v=YWIj36Z_FNU,69587,20272,6179,43140,https://www.twitch.tv/videos/1967387276
664e1b310cf343b78623f99b31e40fae,396000,56765650,5598,2267,11281,https://www.youtube.com/watch?v=OIelbvEnRbg,0,0,0,,5598,2267,11281,https://www.youtube.com/watch?v=OIelbvEnRbg,16778,488,277,488,https://www.twitch.tv/videos/1979746498
5535c9524eb046c38e172ebfa06b302f,313000,70970939,16977,8158,247386,https://www.youtube.com/watch?v=v9Q5021GeHA,17776,9441,247386,https://www.youtube.com/watch?v=v9Q5021GeHA,15510,6981,75696,https://www.youtube.com/watch?v=ENDr3oRO8mY,61831,4102,2852,24981,https://www.twitch.tv/videos/1971811776
4b6b055ada4d4f0ab63b7ad02a3fa3ef,220000,15319223,2644,1030,7765,https://www.youtube.com/watch?v=y_8to8zdcao,2589,992,4477,https://www.youtube.com/watch?v=6zc_PFGDk0Q,7765,3616,7765,https://www.youtube.com/watch?v=y_8to8zdcao,52289,1637,638,4115,https://www.twitch.tv/videos/1982400155
a9f6574e98f34b20a05269134930fb50,216000,7149903,13769,8313,20587,https://www.youtube.com/watch?v=U1dthPB81cw,14591,8578,20587,https://www.youtube.com/watch?v=U1dthPB81cw,4015,3487,4015,https://www.youtube.com/watch?v=CYVmxBJbi5Q,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,186000,31913893,6071,2013,64691,https://www.youtube.com/watch?v=qTrXIFxRcx8,4734,1998,64691,https://www.youtube.com/watch?v=qTrXIFxRcx8,8184,3258,46640,https://www.youtube.com/watch?v=usPujUKU3FQ,44752,4008,1482,19943,https://www.twitch.tv/videos/1980489079
abd64c9a64e04fb1b23faa2480c1c106,170000,57747073,5851,2827,148853,https://www.youtube.com/watch?v=OERBJBC_rxQ,5498,4162,148853,https://www.youtube.com/watch?v=OERBJBC_rxQ,6089,2817,17139,https://www.youtube.com/watch?v=_S-GEU9mlE8,1384,31,29,31,https://www.twitch.tv/videos/1990147893
312fdd3c5e6d4aefa73fd3860ecc5613,163000,15174311,18829,7709,57645,https://www.youtube.com/watch?v=6wTHWUkIBns,17129,5036,43976,https://www.youtube.com/watch?v=DgI6YRCr6rU,21446,8567,57645,https://www.youtube.com/watch?v=6wTHWUkIBns,0,0,0,0,
21428cae24af4607bffe25cb2746daa6,155000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
