V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,481000,88531906,3766,1967,5839,https://www.youtube.com/watch?v=6cT6__Grd_s,2293,952,2381,https://www.youtube.com/watch?v=WCUoIrSNmXc,4629,2623,5839,https://www.youtube.com/watch?v=6cT6__Grd_s,31161,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,434000,43975856,8579,5356,20169,https://www.youtube.com/watch?v=5CGxR-PHIU4,9394,3665,15135,https://www.youtube.com/watch?v=iqnJ7QgX3qQ,7801,6244,20169,https://www.youtube.com/watch?v=5CGxR-PHIU4,72970,20088,11857,92727,https://www.twitch.tv/videos/2004631585
664e1b310cf343b78623f99b31e40fae,396000,56880115,5624,3374,7284,https://www.youtube.com/watch?v=iPC3Ib-ApQc,0,0,0,,5624,3374,7284,https://www.youtube.com/watch?v=iPC3Ib-ApQc,16849,741,530,1142,https://www.twitch.tv/videos/1997584514
5535c9524eb046c38e172ebfa06b302f,315000,71989795,15337,7044,94213,https://www.youtube.com/watch?v=6Ue5olF6WJA,16179,7359,94213,https://www.youtube.com/watch?v=6Ue5olF6WJA,13817,5997,56320,https://www.youtube.com/watch?v=9kByKE-CEzY,61866,2239,847,19294,https://www.twitch.tv/videos/1980805563
4b6b055ada4d4f0ab63b7ad02a3fa3ef,220000,15400160,2490,1291,28324,https://www.youtube.com/watch?v=oI7bqljn4WQ,2490,1276,3696,https://www.youtube.com/watch?v=PsmNJrjrdBc,15081,14217,28324,https://www.youtube.com/watch?v=oI7bqljn4WQ,52432,2007,799,5745,https://www.twitch.tv/videos/1994916917
a9f6574e98f34b20a05269134930fb50,216000,7276433,18796,6185,31117,https://www.youtube.com/watch?v=IYazB7p8KPQ,18796,6185,23133,https://www.youtube.com/watch?v=x9SZV5S68XU,18424,15635,31117,https://www.youtube.com/watch?v=IYazB7p8KPQ,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,187000,32449813,3602,1843,69132,https://www.youtube.com/watch?v=qTrXIFxRcx8,4351,2394,69132,https://www.youtube.com/watch?v=qTrXIFxRcx8,3290,1750,17127,https://www.youtube.com/watch?v=LUS3bq-86cU,44941,4613,1857,19991,https://www.twitch.tv/videos/1980489079
abd64c9a64e04fb1b23faa2480c1c106,171000,58213973,7017,2575,31920,https://www.youtube.com/watch?v=VZ9fhx-0pPw,4589,2594,31920,https://www.youtube.com/watch?v=VZ9fhx-0pPw,8513,2556,29852,https://www.youtube.com/watch?v=foqVdNkUkyg,1387,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,164000,15601549,13718,6283,83767,https://www.youtube.com/watch?v=6wTHWUkIBns,12766,5969,30196,https://www.youtube.com/watch?v=_om1cMfIJv4,16968,6567,83767,https://www.youtube.com/watch?v=6wTHWUkIBns,3222,8085,6945,8085,https://www.twitch.tv/videos/2003134961
21428cae24af4607bffe25cb2746daa6,155000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
265a18972d244affae35711cfd1f9931,135000,10903073,3948,1844,63231,https://www.youtube.com/watch?v=hVMfAvxqi1Q,3985,2047,56146,https://www.youtube.com/watch?v=mgFaygJVmPg,3673,1261,63231,https://www.youtube.com/watch?v=hVMfAvxqi1Q,0,0,0,0,
e93bd1102e214cbaa71cc5b2e4a53595,130000,14150015,14774,6335,67417,https://www.youtube.com/watch?v=TqWJt5tfRtI,12703,6304,27533,https://www.youtube.com/watch?v=re3ogUQWPS8,20314,6861,67417,https://www.youtube.com/watch?v=TqWJt5tfRtI,44273,20333,11153,39225,https://www.twitch.tv/videos/2000182855
c04f006e69e04000a68cd0c41f888eb2,122000,6964860,3548,1733,8908,https://www.youtube.com/watch?v=FKqcorx7Bfs,3548,1733,8908,https://www.youtube.com/watch?v=FKqcorx7Bfs,0,0,0,,0,0,0,0,
c82ab1b4f8f64d1f84cae4ce09aa0dea,119000,12054053,12847,8558,73780,https://www.youtube.com/watch?v=3P24G-JnKH4,12814,8645,23234,https://www.youtube.com/watch?v=PZHrdDD8tLs,13243,7133,73780,https://www.youtube.com/watch?v=3P24G-JnKH4,30259,11935,6614,14706,https://www.twitch.tv/videos/1997611316
bafb134fd2f849898d6242d1f5f683cc,117000,11469875,6299,2807,15047,https://www.youtube.com/watch?v=N-jUp1bkLh0,6233,3179,15047,https://www.youtube.com/watch?v=N-jUp1bkLh0,6365,2338,11784,https://www.youtube.com/watch?v=rHf8kBcD4oQ,18263,6324,3194,11204,https://www.twitch.tv/videos/2005704090
f110fd69b66941bab04de9ada563c6ac,113000,9278938,3571,1952,96896,https://www.youtube.com/watch?v=NacV2f_NMGQ,3466,1824,18130,https://www.youtube.com/watch?v=JsXF1zpxudA,40907,7960,96896,https://www.youtube.com/watch?v=NacV2f_NMGQ,4787,0,0,0,
ab4f892ca62e4043b6287bdfe50b145d,111000,17079885,1804,327,3226,https://www.youtube.com/watch?v=9Dx3f0NDJ6w,1777,444,3226,https://www.youtube.com/watch?v=9Dx3f0NDJ6w,1804,327,1804,https://www.youtube.com/watch?v=m9PrmZOO5Fo,1355,0,0,0,
a3ce195c0069494c99849d0b1a10a7fd,105000,8889793,2747,1101,23384,https://www.youtube.com/watch?v=a72OKYBrEyk,2067,1101,23384,https://www.youtube.com/watch?v=a72OKYBrEyk,3690,1331,12670,https://www.youtube.com/watch?v=JJH6BntmMg0,6740,5723,3630,16312,https://www.twitch.tv/videos/1998451595
494d2c5daf9f4a8a8e4538687e6be14c,104000,4239238,6138,2574,9282,https://www.youtube.com/watch?v=cq_-hjIQooM,7585,2855,9282,https://www.youtube.com/watch?v=cq_-hjIQooM,3293,1686,4976,https://www.youtube.com/watch?v=MvHEg7JKsNs,0,0,0,0,
b126053a1356460ebf85a874a6a55aca,102000,30524366,4733,2594,21949,https://www.youtube.com/watch?v=QNrwM6ie2CQ,4993,2876,21949,https://www.youtube.com/watch?v=QNrwM6ie2CQ,2938,1752,6666,https://www.youtube.com/watch?v=ClGPQe4SVPI,0,0,0,0,
04d2ff1dde6b4bb68503a734274f4b7e,90900,4805368,4733,2338,44261,https://www.youtube.com/watch?v=cCLiKoo-vKA,4944,2362,44261,https://www.youtube.com/watch?v=cCLiKoo-vKA,2377,1077,2377,https://www.youtube.com/watch?v=OFQMcnIiF0o,0,0,0,0,
f1b5f88144e14bd188e17b2f98303713,90000,4212583,2963,2225,6255,https://www.youtube.com/watch?v=9Urud5bQqW4,2963,2225,6255,https://www.youtube.com/watch?v=9Urud5bQqW4,0,0,0,,0,0,0,0,
58abad4aa8de49efb785367503dfd92c,86800,7409190,21178,5447,63569,https://www.youtube.com/watch?v=ZDARFq_gbks,26118,7108,63569,https://www.youtube.com/watch?v=ZDARFq_gbks,1070,958,4220,https://www.youtube.com/watch?v=4bP2yP9GghU,0,0,0,0,
98e3a5838fec4a6caa936ae35485de23,85600,4868133,4529,1722,10407,https://www.youtube.com/watch?v=J2dXjW3vKJY,3697,1541,10364,https://www.youtube.com/watch?v=fC2xdOwR-wY,7248,2540,10407,https://www.youtube.com/watch?v=J2dXjW3vKJY,0,0,0,0,
e78cffa246c24a1c88031151cad8c385,83500,4609735,2694,1205,3616,https://www.youtube.com/watch?v=nOEXxVdmaTk,2008,1118,3616,https://www.youtube.com/watch?v=nOEXxVdmaTk,3126,1591,3215,https://www.youtube.com/watch?v=DJ1YacH8F6w,1504,0,0,0,
