V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,483000,89875735,16216,2584,157398,https://www.youtube.com/watch?v=3ZlCn3VpCSQ,3210,1293,3361,https://www.youtube.com/watch?v=obNCK5ZbUnc,17657,8310,157398,https://www.youtube.com/watch?v=3ZlCn3VpCSQ,31217,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,438000,44889449,22370,5521,89984,https://www.youtube.com/watch?v=u8NKu9wnF24,22456,7260,89984,https://www.youtube.com/watch?v=u8NKu9wnF24,20659,5214,55176,https://www.youtube.com/watch?v=xnoAaiyMqrM,81886,40570,17965,78958,https://www.twitch.tv/videos/2024370985
664e1b310cf343b78623f99b31e40fae,395000,57093894,0,0,0,,0,0,0,,0,0,0,,16940,540,462,603,https://www.twitch.tv/videos/2038180031
5535c9524eb046c38e172ebfa06b302f,320000,74660430,18746,7857,114906,https://www.youtube.com/watch?v=DxyZbeEm244,19667,9080,114906,https://www.youtube.com/watch?v=DxyZbeEm244,18251,6108,80934,https://www.youtube.com/watch?v=BNJhv8s2roc,62429,3354,1255,13095,https://www.twitch.tv/videos/2019786056
4b6b055ada4d4f0ab63b7ad02a3fa3ef,223000,15796701,3096,1250,186659,https://www.youtube.com/watch?v=FFqUmCD532c,3096,1485,186659,https://www.youtube.com/watch?v=FFqUmCD532c,3792,625,6918,https://www.youtube.com/watch?v=-raAwd_pHZw,53401,1803,827,5832,https://www.twitch.tv/videos/2023166634
a9f6574e98f34b20a05269134930fb50,217000,7477941,10142,2520,13255,https://www.youtube.com/watch?v=0r-FgWtB_U0,10575,4033,11008,https://www.youtube.com/watch?v=8ySSsVZTEDQ,10036,2520,13255,https://www.youtube.com/watch?v=0r-FgWtB_U0,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,192000,33940374,8571,3076,116942,https://www.youtube.com/watch?v=Z8vh7LdIfd8,13684,3566,116942,https://www.youtube.com/watch?v=Z8vh7LdIfd8,4363,2613,53594,https://www.youtube.com/watch?v=DbPqmeu0UeY,45599,4414,1428,8509,https://www.twitch.tv/videos/2017911327
abd64c9a64e04fb1b23faa2480c1c106,173000,59254205,4326,1744,43211,https://www.youtube.com/watch?v=mDAokLsh7qw,3082,1287,43211,https://www.youtube.com/watch?v=mDAokLsh7qw,5317,2189,23350,https://www.youtube.com/watch?v=tDGkTNZMKZw,1401,21,20,21,https://www.twitch.tv/videos/2041114599
312fdd3c5e6d4aefa73fd3860ecc5613,166000,16658281,14230,6070,41975,https://www.youtube.com/watch?v=x0O6A9kSNCg,20640,5464,41975,https://www.youtube.com/watch?v=x0O6A9kSNCg,12952,6676,21119,https://www.youtube.com/watch?v=sKqlStcfhxA,6005,0,0,0,
21428cae24af4607bffe25cb2746daa6,154000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
