V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,482000,89239516,7728,1869,23476,https://www.youtube.com/watch?v=3ZlCn3VpCSQ,2971,1426,4437,https://www.youtube.com/watch?v=9u81X-87CGM,11899,2475,23476,https://www.youtube.com/watch?v=3ZlCn3VpCSQ,31208,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,437000,44808965,15025,5607,89984,https://www.youtube.com/watch?v=u8NKu9wnF24,18360,12174,89984,https://www.youtube.com/watch?v=u8NKu9wnF24,14033,4681,52033,https://www.youtube.com/watch?v=xnoAaiyMqrM,80965,38517,17380,78892,https://www.twitch.tv/videos/2024370985
664e1b310cf343b78623f99b31e40fae,395000,57067356,26863,3836,26863,https://www.youtube.com/watch?v=0vVLYUvM7w8,0,0,0,,26863,3836,26863,https://www.youtube.com/watch?v=0vVLYUvM7w8,16925,908,617,908,https://www.twitch.tv/videos/2026426886
5535c9524eb046c38e172ebfa06b302f,319000,74158087,16080,7386,111195,https://www.youtube.com/watch?v=DxyZbeEm244,17503,8140,111195,https://www.youtube.com/watch?v=DxyZbeEm244,14875,7315,77744,https://www.youtube.com/watch?v=BNJhv8s2roc,62388,3696,1929,19111,https://www.twitch.tv/videos/2009079422
4b6b055ada4d4f0ab63b7ad02a3fa3ef,223000,15778095,3108,1412,184438,https://www.youtube.com/watch?v=FFqUmCD532c,2794,1350,184438,https://www.youtube.com/watch?v=FFqUmCD532c,5691,1427,23542,https://www.youtube.com/watch?v=Ay9UL4HXSvA,53378,1791,1030,5832,https://www.twitch.tv/videos/2023166634
a9f6574e98f34b20a05269134930fb50,217000,7454093,10288,3290,14683,https://www.youtube.com/watch?v=JCcQY-JQf9I,10817,3290,14683,https://www.youtube.com/watch?v=JCcQY-JQf9I,6515,3265,9364,https://www.youtube.com/watch?v=uC9nV4U4Nxs,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,192000,33749478,7913,2875,114782,https://www.youtube.com/watch?v=Z8vh7LdIfd8,13227,4313,114782,https://www.youtube.com/watch?v=Z8vh7LdIfd8,4191,2589,44516,https://www.youtube.com/watch?v=DbPqmeu0UeY,45535,4777,1541,8505,https://www.twitch.tv/videos/2017911327
abd64c9a64e04fb1b23faa2480c1c106,173000,59111429,5457,2677,31091,https://www.youtube.com/watch?v=C2Seq0BCWtU,3566,1593,28863,https://www.youtube.com/watch?v=mDAokLsh7qw,5507,2938,31091,https://www.youtube.com/watch?v=C2Seq0BCWtU,1401,83,48,83,https://www.twitch.tv/videos/2023433602
312fdd3c5e6d4aefa73fd3860ecc5613,166000,16506966,10248,6515,102757,https://www.youtube.com/watch?v=o3P6ADZ4LVk,15543,6593,41575,https://www.youtube.com/watch?v=x0O6A9kSNCg,9951,5904,102757,https://www.youtube.com/watch?v=o3P6ADZ4LVk,5950,0,0,0,
21428cae24af4607bffe25cb2746daa6,154000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
